thuis,uit,uitslag,home_prob,draw_prob,away_prob,is_motd
England,Croatia,4-2,52.5%,29.5%,16.5%,True
Ghana,Panama,1-0,40.5%,30.5%,29.5%,False
Uzbekistan,Colombia,1-3,9.5%,19.5%,70.5%,False
